iter	Accuracy	MultiClass
64	0.9521771493	0.2141965746
65	0.9525363447	0.2122007238
66	0.9525363447	0.2097716946
67	0.9546819721	0.2074895356
68	0.9558002148	0.2055396167
69	0.9543634332	0.203277448
70	0.9572681079	0.2010622402
71	0.9591984316	0.199088095
72	0.9581590256	0.197885938
73	0.9599454576	0.1968109763
74	0.9602735416	0.1951502054
75	0.9599454576	0.1935655205
76	0.961344059	0.1914982298
77	0.9606663247	0.1893837172
78	0.9620217933	0.1874201391
79	0.9623809888	0.1860248482
80	0.9623594224	0.1845401503
81	0.9620097721	0.1828771753
82	0.9627090727	0.1811253006
83	0.9627090727	0.1797233941
84	0.9627090727	0.1775853293
85	0.9630587231	0.1757124114
86	0.965582636	0.1739085446
87	0.9659322864	0.1726739503
88	0.9655444558	0.1709141243
89	0.9695051504	0.1689738973
90	0.9705325351	0.1675771808
91	0.9705420801	0.1662267262
92	0.9698643458	0.1648513206
93	0.9698427794	0.1632426641
94	0.9698427794	0.1620524842
95	0.9705420801	0.1607042871
96	0.9726781625	0.1588140988
97	0.9729846801	0.1576081682
98	0.9736624145	0.1562748204
99	0.9733343305	0.1547557739
100	0.9715694648	0.1533551071
101	0.9739904984	0.1517675546
102	0.9739904984	0.1504652511
103	0.9739904984	0.1495946326
104	0.9740120648	0.1484554116
105	0.9743712602	0.1469809698
106	0.9743712602	0.1458358634
107	0.9746993442	0.1446249705
108	0.9760116802	0.1436164246
109	0.9760116802	0.1433325058
110	0.9750274282	0.1422410228
111	0.9763397642	0.1413964297
112	0.9769959322	0.1407742379
113	0.9769959322	0.1404479213
114	0.9769959322	0.1390071314
115	0.9769959322	0.1378459637
116	0.9769959322	0.1370719684
117	0.9766678482	0.1364337467
118	0.9766678482	0.135293604
119	0.9766678482	0.1346129911
120	0.9769959322	0.1337994015
121	0.9769959322	0.1327649017
122	0.9766678482	0.1321385855
123	0.9773240162	0.1313202128
124	0.9776521002	0.1302308184
125	0.9776521002	0.1299369717
126	0.9776521002	0.1298227901
127	0.9758872345	0.1282078492
128	0.9758872345	0.1281099514
129	0.9779801842	0.1270519543
130	0.9779801842	0.1268121231
131	0.9765434025	0.1265731583
132	0.9768714865	0.1262472433
133	0.9768714865	0.126100192
134	0.9772306819	0.1246101558
135	0.9769025979	0.124516998
136	0.9778868499	0.1232007298
137	0.9778868499	0.1230727922
138	0.9778868499	0.1220829487
139	0.9791991859	0.1212642586
140	0.9803078836	0.1203818138
141	0.9816202196	0.119639647
142	0.9816202196	0.1191896263
143	0.9819698699	0.1183824808
144	0.9816417859	0.1175757859
145	0.9816417859	0.1173906238
146	0.9816417859	0.1172905982
147	0.9823195203	0.1164013892
148	0.9822979539	0.1155024236
149	0.9829972546	0.1146133919
150	0.9833253386	0.113742779
151	0.9836534226	0.1134213124
152	0.9836534226	0.1133771709
153	0.9833253386	0.1133246102
154	0.9833253386	0.1132384047
155	0.9833037723	0.1126223389
156	0.9829756883	0.1119908526
157	0.9829756883	0.1112137262
158	0.9829756883	0.1111671209
159	0.9829756883	0.1110998555
160	0.9833037723	0.1109604204
161	0.9829756883	0.1108588451
162	0.9833037723	0.110807793
163	0.9833037723	0.1100370376
164	0.9833037723	0.1091836469
165	0.9836318562	0.1087098048
166	0.9836318562	0.1086201235
167	0.9833037723	0.1078949514
168	0.9836318562	0.1074372563
169	0.9832822059	0.1070456569
170	0.9836102899	0.1069890361
171	0.9839383739	0.1062529594
172	0.9839383739	0.106174075
173	0.9839383739	0.1056296973
174	0.9839383739	0.10513094
175	0.9839383739	0.1047218001
176	0.9842975693	0.1040179698
177	0.9842975693	0.1033831288
