iter	Passed	Remaining
416	3524	701
417	3531	692
418	3539	684
419	3548	675
420	3557	667
421	3565	659
422	3575	650
423	3582	642
424	3589	633
425	3598	625
426	3605	616
427	3614	608
428	3623	599
429	3632	591
430	3642	583
431	3650	574
432	3658	566
433	3667	557
434	3675	549
435	3683	540
436	3691	532
437	3698	523
438	3707	515
439	3714	506
440	3722	497
441	3730	489
442	3738	481
443	3746	472
444	3754	464
445	3762	455
446	3769	446
447	3777	438
448	3785	429
449	3792	421
450	3800	412
451	3808	404
452	3816	395
453	3823	387
454	3831	378
455	3839	370
456	3847	362
457	3855	353
458	3863	345
459	3869	336
460	3877	328
461	3886	319
462	3894	311
463	3902	302
464	3910	294
465	3917	285
466	3924	277
467	3932	268
468	3940	260
469	3948	252
470	3957	243
471	3964	235
472	3972	226
473	3981	218
474	3989	209
475	3996	201
476	4004	193
477	4012	184
478	4020	176
479	4027	167
480	4034	159
481	4042	150
482	4050	142
483	4059	134
484	4067	125
485	4074	117
486	4081	108
487	4089	100
488	4097	92
489	4105	83
490	4112	75
491	4120	66
492	4127	58
493	4135	50
494	4142	41
495	4150	33
496	4158	25
497	4165	16
498	4180	8
499	4190	0
